!    SILAM Source Locations
!!   Nuclear Sources List
!!   Nuclear Power Plants (NPP)
!!   Coordinates in decimals, with N/E = positive, S/W= negative
!!   Data updated 2018-10-05 by STUK
!!   Data source: IAEA PRIS database
!! 
! latitude    longitude        country   NPP-type    Additional Information (plant name, net capacity, age)
!--------------------------------------------------------------------------------------------------------------------
!
-33.9669   S   -59.2086   W   Argentina   PL_PHWR   Atucha 1, 362 MWe, Oper. since 1974
37.0929   N   129.396   E   South Korea   PL_PWR   Hanul 4, 1053 MWe, Oper. since 1999
37.0929   N   129.397   E   South Korea   PL_PWR   Hanul 5, 1052 MWe, Oper. since 2004
37.0929   N   129.398   E   South Korea   PL_PWR   Hanul 6, 1050 MWe, Oper. since 2005
35.3212   N   129.296   E   South Korea   PL_PWR   Kori 2, 681 MWe, Oper. since 1983
35.3212   N   129.297   E   South Korea   PL_PWR   Kori 3, 1043 MWe, Oper. since 1985
35.3212   N   129.298   E   South Korea   PL_PWR   Kori 4, 1044 MWe, Oper. since 1986
35.3271   N   129.302   E   South Korea   PL_PWR   Shin Kori 1, 1047 MWe, Oper. since 2011
35.3291   N   129.302   E   South Korea   PL_PWR   Shin Kori 2, 1046 MWe, Oper. since 2012
35.3311   N   129.302   E   South Korea   PL_PWR   Shin Kori 3, 1455 MWe, Oper. since 2016
35.7221   N   129.479   E   South Korea   PL_PWR   Shin Wolsong 1, 1045 MWe, Oper. since 2012
35.7241   N   129.479   E   South Korea   PL_PWR   Shin Wolsong 2, 1045 MWe, Oper. since 2015
35.7101   N   129.476   E   South Korea   PL_PHWR   Wolsong 1, 685 MWe, Oper. since 1983
35.7101   N   129.477   E   South Korea   PL_PHWR   Wolsong 2, 671 MWe, Oper. since 1997
35.7101   N   129.478   E   South Korea   PL_PHWR   Wolsong 3, 675 MWe, Oper. since 1998
35.7101   N   129.479   E   South Korea   PL_PHWR   Wolsong 4, 675 MWe, Oper. since 1999
39.8074   N   -5.69769   W   Spain   PL_PWR   Almaraz 1, 1049 MWe, Oper. since 1983
39.8074   N   -5.69669   W   Spain   PL_PWR   Almaraz 2, 1044 MWe, Oper. since 1984
41.2016   N   0.571359   E   Spain   PL_PWR   Asco 1, 1033 MWe, Oper. since 1984
41.2016   N   0.572359   E   Spain   PL_PWR   Asco 2, 1035 MWe, Oper. since 1986
39.2162   N   -1.05132   W   Spain   PL_BWR   Cofrentes, 1102 MWe, Oper. since 1985
40.6993   N   -2.62211   W   Spain   PL_PWR   Trillo 1, 1066 MWe, Oper. since 1988
40.9485   N   0.867494   E   Spain   PL_PWR   Vandellos 2, 1087 MWe, Oper. since 1988
60.4047   N   18.1681   E   Sweden   PL_BWR   Forsmark 1, 1022 MWe, Oper. since 1980
60.4047   N   18.1702   E   Sweden   PL_BWR   Forsmark 2, 1158 MWe, Oper. since 1981
60.4068   N   18.1546   E   Sweden   PL_BWR   Forsmark 3, 1203 MWe, Oper. since 1985
57.4161   N   16.671   E   Sweden   PL_BWR   Oskarshamn 3, 1450 MWe, Oper. since 1985
57.259   N   12.1112   E   Sweden   PL_BWR   Ringhals 1, 910 MWe, Oper. since 1976
57.259   N   12.1122   E   Sweden   PL_PWR   Ringhals 2, 963 MWe, Oper. since 1975
57.259   N   12.1132   E   Sweden   PL_PWR   Ringhals 3, 1117 MWe, Oper. since 1981
57.259   N   12.1142   E   Sweden   PL_PWR   Ringhals 4, 1171 MWe, Oper. since 1983
47.552   N   8.22946   E   Switzerland   PL_PWR   Beznau 1, 380 MWe, Oper. since 1969
47.552   N   8.23046   E   Switzerland   PL_PWR   Beznau 2, 380 MWe, Oper. since 1971
47.3663   N   7.96898   E   Switzerland   PL_PWR   Goesgen, 1060 MWe, Oper. since 1979
47.6012   N   8.18341   E   Switzerland   PL_BWR   Leibstadt, 1275 MWe, Oper. since 1984
46.969   N   7.26622   E   Switzerland   PL_BWR   Muehleberg, 390 MWe, Oper. since 1972
25.2924   N   121.567   E   Taiwan   PL_BWR   Chinshan 1, 636 MWe, Oper. since 1978
25.2924   N   121.568   E   Taiwan   PL_BWR   Chinshan 2, 636 MWe, Oper. since 1979
25.2025   N   121.662   E   Taiwan   PL_BWR   Kuosheng 1, 1020 MWe, Oper. since 1981
25.203   N   121.662   E   Taiwan   PL_BWR   Kuosheng 2, 1020 MWe, Oper. since 1983
21.9585   N   120.753   E   Taiwan   PL_PWR   Maanshan 1, 951 MWe, Oper. since 1984
21.9585   N   120.754   E   Taiwan   PL_PWR   Maanshan 2, 951 MWe, Oper. since 1985
50.3007   N   26.6493   E   Ukraine   PL_PWR   Khmelnitski 1, 1000 MWe, Oper. since 1988
50.3012   N   26.6471   E   Ukraine   PL_PWR   Khmelnitski 2, 1000 MWe, Oper. since 2005
51.3261   N   25.8996   E   Ukraine   PL_PWR   Rovno 1, 420 MWe, Oper. since 1981
51.3261   N   25.9006   E   Ukraine   PL_PWR   Rovno 2, 415 MWe, Oper. since 1982
51.3261   N   25.9016   E   Ukraine   PL_PWR   Rovno 3, 1000 MWe, Oper. since 1987
51.3261   N   25.9026   E   Ukraine   PL_PWR   Rovno 4, 1000 MWe, Oper. since 2006
47.8113   N   31.2199   E   Ukraine   PL_PWR   South Ukraine 1, 1000 MWe, Oper. since 1983
47.8108   N   31.2199   E   Ukraine   PL_PWR   South Ukraine 2, 1000 MWe, Oper. since 1985
47.8116   N   31.2238   E   Ukraine   PL_PWR   South Ukraine 3, 1000 MWe, Oper. since 1989
47.5084   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 1, 1000 MWe, Oper. since 1985
47.5079   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 2, 1000 MWe, Oper. since 1986
47.5074   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 3, 1000 MWe, Oper. since 1987
47.5069   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 4, 1000 MWe, Oper. since 1988
47.5064   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 5, 1000 MWe, Oper. since 1989
47.5059   N   34.6265   E   Ukraine   PL_PWR   Zaporozhye 6, 1000 MWe, Oper. since 1996
50.9126   N   0.961755   E   United Kingdom   PL_GCR   Dungeness B 1, 615 MWe, Oper. since 1985
50.9121   N   0.961755   E   United Kingdom   PL_GCR   Dungeness B 2, 615 MWe, Oper. since 1989
54.6339   N   -1.17961   W   United Kingdom   PL_GCR   Hartlepool A 1, 655 MWe, Oper. since 1989
54.6336   N   -1.17961   W   United Kingdom   PL_GCR   Hartlepool A 2, 655 MWe, Oper. since 1989
54.0287   N   -2.91227   W   United Kingdom   PL_GCR   Heysham A 1, 625 MWe, Oper. since 1989
54.0282   N   -2.91227   W   United Kingdom   PL_GCR   Heysham A 2, 625 MWe, Oper. since 1989
54.0277   N   -2.91227   W   United Kingdom   PL_GCR   Heysham B 1, 680 MWe, Oper. since 1989
54.0272   N   -2.91227   W   United Kingdom   PL_GCR   Heysham B 2, 680 MWe, Oper. since 1989
51.2082   N   -3.1305   W   United Kingdom   PL_GCR   Hinkley Point B 1, 655 MWe, Oper. since 1978
51.2077   N   -3.1305   W   United Kingdom   PL_GCR   Hinkley Point B 2, 655 MWe, Oper. since 1976
55.721   N   -4.89341   W   United Kingdom   PL_GCR   Hunterston B 1, 644 MWe, Oper. since 1976
55.7205   N   -4.89341   W   United Kingdom   PL_GCR   Hunterston B 2, 644 MWe, Oper. since 1977
52.2149   N   1.62269   E   United Kingdom   PL_PWR   Sizewell B, 1250 MWe, Oper. since 1995
55.9664   N   -2.39883   W   United Kingdom   PL_GCR   Torness 1, 682 MWe, Oper. since 1988
55.9659   N   -2.39883   W   United Kingdom   PL_GCR   Torness 2, 682 MWe, Oper. since 1989
35.3103   N   -93.2296   W   United States Of America   PL_PWR   Ano 1, 903 MWe, Oper. since 1974
35.3103   N   -93.2286   W   United States Of America   PL_PWR   Ano 2, 1065 MWe, Oper. since 1980
40.6238   N   -80.4319   W   United States Of America   PL_PWR   Beaver Valley 1, 959 MWe, Oper. since 1976
40.6238   N   -80.4309   W   United States Of America   PL_PWR   Beaver Valley 2, 958 MWe, Oper. since 1987
41.247   N   -88.2296   W   United States Of America   PL_PWR   Braidwood 1, 1270 MWe, Oper. since 1988
41.247   N   -88.2288   W   United States Of America   PL_PWR   Braidwood 2, 1230 MWe, Oper. since 1988
34.7038   N   -87.119   W   United States Of America   PL_BWR   Browns Ferry 1, 1155 MWe, Oper. since 1974
34.7033   N   -87.119   W   United States Of America   PL_BWR   Browns Ferry 2, 1155 MWe, Oper. since 1975
34.7028   N   -87.119   W   United States Of America   PL_BWR   Browns Ferry 3, 1155 MWe, Oper. since 1977
33.9579   N   -78.0071   W   United States Of America   PL_BWR   Brunswick 1, 990 MWe, Oper. since 1977
33.9574   N   -78.0071   W   United States Of America   PL_BWR   Brunswick 2, 960 MWe, Oper. since 1975
42.0744   N   -89.2766   W   United States Of America   PL_PWR   Byron 1, 1242 MWe, Oper. since 1985
42.0744   N   -89.2756   W   United States Of America   PL_PWR   Byron 2, 1210 MWe, Oper. since 1987
38.763   N   -91.7814   W   United States Of America   PL_PWR   Callaway 1, 1275 MWe, Oper. since 1984
38.4345   N   -76.4389   W   United States Of America   PL_PWR   Calvert Cliffs 1, 918 MWe, Oper. since 1975
38.434   N   -76.4389   W   United States Of America   PL_PWR   Calvert Cliffs 2, 911 MWe, Oper. since 1977
35.053   N   -81.071   W   United States Of America   PL_PWR   Catawba 1, 1188 MWe, Oper. since 1985
35.053   N   -81.07   W   United States Of America   PL_PWR   Catawba 2, 1188 MWe, Oper. since 1986
40.1717   N   -88.8335   W   United States Of America   PL_BWR   Clinton 1, 1098 MWe, Oper. since 1987
46.4713   N   -119.333   W   United States Of America   PL_BWR   Columbia, 1190 MWe, Oper. since 1984
32.3007   N   -97.7865   W   United States Of America   PL_PWR   Comanche Peak 1, 1259 MWe, Oper. since 1990
32.3007   N   -97.7855   W   United States Of America   PL_PWR   Comanche Peak 2, 1250 MWe, Oper. since 1993
41.9752   N   -86.5641   W   United States Of America   PL_PWR   Cook 1, 1100 MWe, Oper. since 1975
41.9752   N   -86.5631   W   United States Of America   PL_PWR   Cook 2, 1151 MWe, Oper. since 1978
40.3609   N   -95.6434   W   United States Of America   PL_BWR   Cooper, 801 MWe, Oper. since 1974
41.5969   N   -83.0919   W   United States Of America   PL_PWR   Davis Besse 1, 925 MWe, Oper. since 1978
35.2122   N   -120.854   W   United States Of America   PL_PWR   Diablo Canyon 1, 1197 MWe, Oper. since 1985
35.2122   N   -120.853   W   United States Of America   PL_PWR   Diablo Canyon 2, 1197 MWe, Oper. since 1986
41.3862   N   -88.268   W   United States Of America   PL_BWR   Dresden 2, 950 MWe, Oper. since 1970
41.3851   N   -88.2684   W   United States Of America   PL_BWR   Dresden 3, 935 MWe, Oper. since 1971
42.101   N   -91.776   W   United States Of America   PL_BWR   Duane Arnold 1, 624 MWe, Oper. since 1975
31.2231   N   -85.1145   W   United States Of America   PL_PWR   Farley 1, 918 MWe, Oper. since 1977
31.2231   N   -85.1135   W   United States Of America   PL_PWR   Farley 2, 928 MWe, Oper. since 1981
41.9627   N   -83.2566   W   United States Of America   PL_BWR   Fermi 2, 1198 MWe, Oper. since 1988
43.521   N   -76.4026   W   United States Of America   PL_BWR   Fitzpatrick, 849 MWe, Oper. since 1975
43.2786   N   -77.3108   W   United States Of America   PL_PWR   Ginna, 608 MWe, Oper. since 1970
32.0069   N   -91.0452   W   United States Of America   PL_BWR   Grand Gulf 1, 1500 MWe, Oper. since 1985
35.6349   N   -78.9548   W   United States Of America   PL_PWR   Harris 1, 960 MWe, Oper. since 1987
31.9347   N   -82.3461   W   United States Of America   PL_BWR   Hatch 1, 911 MWe, Oper. since 1975
31.9343   N   -82.3461   W   United States Of America   PL_BWR   Hatch 2, 921 MWe, Oper. since 1979
39.4668   N   -75.5354   W   United States Of America   PL_BWR   Hope Creek 1, 1240 MWe, Oper. since 1986
41.2693   N   -73.9497   W   United States Of America   PL_PWR   Indian Point 2, 1067 MWe, Oper. since 1974
41.2688   N   -73.9497   W   United States Of America   PL_PWR   Indian Point 3, 1085 MWe, Oper. since 1976
41.2461   N   -88.6724   W   United States Of America   PL_BWR   Lasalle 1, 1207 MWe, Oper. since 1984
41.2456   N   -88.6724   W   United States Of America   PL_BWR   Lasalle 2, 1207 MWe, Oper. since 1984
40.2251   N   -75.5835   W   United States Of America   PL_BWR   Limerick 1, 1194 MWe, Oper. since 1986
40.2246   N   -75.5835   W   United States Of America   PL_BWR   Limerick 2, 1194 MWe, Oper. since 1990
35.4333   N   -80.9463   W   United States Of America   PL_PWR   Mcguire 1, 1215 MWe, Oper. since 1981
35.4327   N   -80.9463   W   United States Of America   PL_PWR   Mcguire 2, 1215 MWe, Oper. since 1984
41.3116   N   -72.166   W   United States Of America   PL_PWR   Millstone 2, 918 MWe, Oper. since 1975
41.3111   N   -72.166   W   United States Of America   PL_PWR   Millstone 3, 1280 MWe, Oper. since 1986
45.3337   N   -93.8504   W   United States Of America   PL_BWR   Monticello, 691 MWe, Oper. since 1971
43.5216   N   -76.4124   W   United States Of America   PL_BWR   Nine Mile Point 1, 642 MWe, Oper. since 1969
43.5205   N   -76.4126   W   United States Of America   PL_BWR   Nine Mile Point 2, 1320 MWe, Oper. since 1988
38.0612   N   -77.7918   W   United States Of America   PL_PWR   North Anna 1, 990 MWe, Oper. since 1978
38.0607   N   -77.7918   W   United States Of America   PL_PWR   North Anna 2, 1011 MWe, Oper. since 1980
34.7964   N   -82.8944   W   United States Of America   PL_PWR   Oconee 1, 891 MWe, Oper. since 1973
34.7959   N   -82.8944   W   United States Of America   PL_PWR   Oconee 2, 891 MWe, Oper. since 1974
34.7954   N   -82.8944   W   United States Of America   PL_PWR   Oconee 3, 900 MWe, Oper. since 1974
39.8146   N   -74.2077   W   United States Of America   PL_BWR   Oyster Creek, 652 MWe, Oper. since 1969
42.3226   N   -86.3161   W   United States Of America   PL_PWR   Palisades, 850 MWe, Oper. since 1971
33.3873   N   -112.863   W   United States Of America   PL_PWR   Palo Verde 1, 1414 MWe, Oper. since 1986
33.3868   N   -112.863   W   United States Of America   PL_PWR   Palo Verde 2, 1414 MWe, Oper. since 1986
33.3863   N   -112.863   W   United States Of America   PL_PWR   Palo Verde 3, 1414 MWe, Oper. since 1988
39.7589   N   -76.2702   W   United States Of America   PL_BWR   Peach Bottom 2, 1412 MWe, Oper. since 1974
39.7584   N   -76.2702   W   United States Of America   PL_BWR   Peach Bottom 3, 1412 MWe, Oper. since 1974
41.8006   N   -81.1465   W   United States Of America   PL_BWR   Perry 1, 1303 MWe, Oper. since 1987
41.9449   N   -70.5776   W   United States Of America   PL_BWR   Pilgrim 1, 711 MWe, Oper. since 1972
44.2816   N   -87.5343   W   United States Of America   PL_PWR   Point Beach 1, 640 MWe, Oper. since 1970
44.2811   N   -87.5343   W   United States Of America   PL_PWR   Point Beach 2, 640 MWe, Oper. since 1972
44.6223   N   -92.6314   W   United States Of America   PL_PWR   Prairie Island 1, 566 MWe, Oper. since 1973
44.6218   N   -92.6314   W   United States Of America   PL_PWR   Prairie Island 2, 560 MWe, Oper. since 1974
41.7268   N   -90.3078   W   United States Of America   PL_BWR   Quad Cities 1, 940 MWe, Oper. since 1973
41.7263   N   -90.3078   W   United States Of America   PL_BWR   Quad Cities 2, 940 MWe, Oper. since 1973
30.7273   N   -91.3716   W   United States Of America   PL_BWR   River Bend 1, 1016 MWe, Oper. since 1986
34.4024   N   -80.1584   W   United States Of America   PL_PWR   Robinson 2, 780 MWe, Oper. since 1971
39.463   N   -75.5342   W   United States Of America   PL_PWR   Salem 1, 1254 MWe, Oper. since 1977
39.4625   N   -75.5342   W   United States Of America   PL_PWR   Salem 2, 1200 MWe, Oper. since 1981
42.8974   N   -70.8493   W   United States Of America   PL_PWR   Seabrook 1, 1296 MWe, Oper. since 1990
35.2277   N   -85.0936   W   United States Of America   PL_PWR   Sequoyah 1, 1221 MWe, Oper. since 1981
35.2272   N   -85.0936   W   United States Of America   PL_PWR   Sequoyah 2, 1200 MWe, Oper. since 1982
28.7967   N   -96.0444   W   United States Of America   PL_PWR   South Texas 1, 1354 MWe, Oper. since 1988
28.7962   N   -96.0444   W   United States Of America   PL_PWR   South Texas 2, 1354 MWe, Oper. since 1989
27.3484   N   -80.2439   W   United States Of America   PL_PWR   St. Lucie 1, 1045 MWe, Oper. since 1976
27.3484   N   -80.2438   W   United States Of America   PL_PWR   St. Lucie 2, 1050 MWe, Oper. since 1983
34.2985   N   -81.3138   W   United States Of America   PL_PWR   Summer 1, 1006 MWe, Oper. since 1984
37.1664   N   -76.7003   W   United States Of America   PL_PWR   Surry 1, 890 MWe, Oper. since 1972
37.1659   N   -76.7003   W   United States Of America   PL_PWR   Surry 2, 890 MWe, Oper. since 1973
41.0929   N   -76.1428   W   United States Of America   PL_BWR   Susquehanna 1, 1330 MWe, Oper. since 1983
41.0924   N   -76.1428   W   United States Of America   PL_BWR   Susquehanna 2, 1330 MWe, Oper. since 1985
40.1539   N   -76.727   W   United States Of America   PL_PWR   Three Mile Island 1, 880 MWe, Oper. since 1974
25.4346   N   -80.3301   W   United States Of America   PL_PWR   Turkey Point 3, 829 MWe, Oper. since 1972
25.4346   N   -80.3291   W   United States Of America   PL_PWR   Turkey Point 4, 829 MWe, Oper. since 1973
33.1425   N   -81.7596   W   United States Of America   PL_PWR   Vogtle 1, 1229 MWe, Oper. since 1987
33.142   N   -81.7596   W   United States Of America   PL_PWR   Vogtle 2, 1229 MWe, Oper. since 1989
29.9944   N   -90.4708   W   United States Of America   PL_PWR   Waterford 3, 1250 MWe, Oper. since 1985
35.601   N   -84.7893   W   United States Of America   PL_PWR   Watts Bar 1, 1210 MWe, Oper. since 1996
35.6005   N   -84.7893   W   United States Of America   PL_PWR   Watts Bar 2, 1218 MWe, Oper. since 2016
38.2392   N   -95.6905   W   United States Of America   PL_PWR   Wolf Creek, 1285 MWe, Oper. since 1985
